title,author,published,pages,genre,0
For Whom the Bell Tolls,Ernest Hemingway,1994,500,['Americans'],
From a Buick 8,Stephen King,2002,467,['Abandonment of automobiles'],
On Writing,Stephen King,2001,367,"['Authors, American']",
Firestarter,Stephen King,1981,510,['English fiction'],
Hearts in Atlantis,Stephen King,2000,621,['English fiction'],
,,,,,
Christine,Stephen King,1983,597,['English fiction'],
The Dark Half,Stephen King,1990,468,['English fiction'],
The Bachman Books,Stephen King,1986,865,['Horror tales'],
It : [a novel],Stephen King,1987,1116,['Horror tales'],
Desperation,Stephen King,2011,706,['Good and evil'],
Just After Sunset,Stephen King,2008,353,['Fiction'],
The Institute,Stephen King,2019-09-10,576,['Fiction'],
Gerald's Game,Stephen King,1992,342,['Fear'],
Under the Dome,Stephen King,2009,880,['Aircraft accidents'],
,,,,,
,,,,,
Good Friday,Lynda La Plante,2017-08-23,400,['Amnesia'],
The Plot Against America,Philip Roth,2005,52,['Antisemitism'],
"Death Note Black Edition, Vol. 2",Tsugumi Ohba,2011-03-01,400,['Comics & Graphic Novels'],
The Lord of the Rings,J. R. R. Tolkien,1991,1193,['Fiction'],
,,,,,
The Color Purple,Alice Walker,2004,262,['Abused wives'],
The Dinner Guest,B. P. Walter,2021,416,,
The Hunger,Alma Katsu,2019-02-21,480,['Cannibalism'],
Hamnet,Maggie O'Farrell,2021-03-30,372,['Fiction'],
,,,,,
The First Fifteen Lives of Harry August,Claire North,2014-08-26,405,['Fiction'],
The Kremlin Device,Chris Ryan,2003,436,['Mafia'],
Ultimate Weapon,Chris Ryan,2007,516,['Disappeared persons'],
Zero Option,Chris Ryan,2003,388,['Assassination'],
The Book Thief,Markus Zusak,2016-04-21,578,['Fiction'],
Second Life,S. J. Watson,2016-07-28,466,['Suspense fiction'],
,,,,,
The Kingkiller Chronicle,Patrick Rothfuss,2008,661,,
The Hobbit,John Ronald Reuel Tolkien,2013,389,"['Baggins, Bilbo']",
,,,,,
The Picture of Dorian Gray,Oscar Wilde,1992,230,['Fiction'],
The Martian,Andy Weir,2014-08-28,388,['Fiction'],
Attachments,Rainbow Rowell,2012-02-01,357,['Electronic mail messages'],
The Last Wish,Andrzej Sapkowski,2008,280,['Fantasy fiction'],
Daughter,Jane Shemilt,2014-08-14,392,['Mothers and daughters'],
The Catcher in the Rye,J. D. Salinger,2010,192,['Fiction'],
Tell Tale,Mark Sennen,2015-02-01,400,['Detective and mystery stories'],
The Firemaker,Peter May,2016-04-21,530,['Beijing (China)'],
Altered Carbon,Richard Morgan,2008,471,['Altered states of consciousness'],
All My Sons,Arthur Miller,2009,84,['Aircraft supplies industry'],
The Border Trilogy,Cormac McCarthy,2018-07-12,1056,,
A Game of Thrones,George R. R. Martin,2011,818,['Fiction'],
A Clash of Kings : Book 2 of A Song of Ice and Fire,George R. R. Martin,2011-09,913,['Brothers'],
A Storm of Swords: Steel and Snow: Book 3 Part 1 of a Song of Ice and Fire,George R. R. Martin,2000,0,['Fantasy fiction'],
A Storm of Swords,George R. R. Martin,2011,626,['Fiction'],
A Feast for Crows,George R. R. Martin,2011,866,['Fiction'],
A Dance with Dragons,George R. R. Martin,2012,690,['Fantasy fiction'],
A dance with dragons : part two: after the feast,George R. R. Martin,2012,592,['Fiction'],
Ketchup Clouds,Annabel Pitcher,2013-07-01,308,"[""Children's secrets""]",
Eleanor & Park,Rainbow Rowell,2013,324,['Fiction'],
Fangirl,Rainbow Rowell,2013-09-10,481,['Juvenile Nonfiction'],
The Dying Place,Luca Veste,2014-12-04,400,['Detective and mystery stories'],
Sourcery,Terry Pratchett,2014,279,['Fiction'],
Harry Potter and the Philosopher's Stone,J. K. Rowling,2014-01-09,353,['Juvenile Fiction'],
Harry Potter and the Chamber of Secrets,J. K. Rowling,2014-08-27,373,['Juvenile Fiction'],
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,2014-09-01,480,['Juvenile Fiction'],
Harry Potter and the Goblet of Fire,J. K. Rowling,2014-08-27,633,['Fiction'],
Harry Potter and the Order of the Phoenix,J. K. Rowling,2014-08-27,815,['Fiction'],
Harry Potter and the Half-Blood Prince,J. K. Rowling,2014-08-27,561,['Juvenile Fiction'],
Harry Potter and the Deathly Hallows,J. K. Rowling,2014-08-27,638,['Fiction'],
The Colour of Magic,Terry Pratchett,2014-08-07,256,['Discworld (Imaginary place)'],
The Light Fantastic,Terry Pratchett,2014-08-07,240,['Discworld (Imaginary place)'],
Equal Rites,Terry Pratchett,2014-04-03,256,['Discworld (Imaginary place)'],
Mort,Terry Pratchett,2013-11-01,272,['Fiction'],
Wyrd Sisters,Terry Pratchett,2014-04-03,304,['Discworld (Imaginary place)'],
Hogfather,Terry Pratchett,2013-12-01,357,['Fiction'],
Mort,Terry Pratchett,1988,324,['Fiction'],
Lolita,Vladimir Nabokov,1980,315,['Fiction in English'],
Lockdown,Peter May,2020-04-28,416,['Avian influenza'],
