"Code type","Count","Date","Time","Unix time","Scanned or generated","Starred","Name","Code data"
"EAN-13","1","2022-11-01","16:19:06","1667319546.879296","1","0","","9780330491228"
"EAN-13","1","2022-11-01","16:19:01","1667319541.706022","1","0","","9780330491235"
"EAN-13","1","2022-11-01","16:18:57","1667319537.699431","1","0","","9780330491204"
"EAN-13","1","2022-11-01","16:18:50","1667319530.944808","1","0","","9780330491211"
"EAN-13","1","2022-11-01","16:18:49","1667319529.285392","1","0","","9780330491198"
"EAN-13","1","2022-11-01","16:18:40","1667319520.710016","1","0","","9780099740919"
"EAN-13","1","2022-11-01","16:18:31","1667319511.573319","1","0","","9780007341900"
"EAN-13","1","2022-11-01","16:18:28","1667319508.450137","1","0","","9781781258637"
"EAN-13","1","2022-11-01","16:18:25","1667319505.514215","1","0","","9780140032192"
"EAN-13","1","2022-11-01","16:18:19","1667319499.027066","1","0","","9780140620757"
"EAN-13","1","2022-11-01","16:18:16","1667319496.055705","1","0","","9781788162302"
"EAN-13","1","2022-11-01","16:18:13","1667319493.346018","1","0","","9781782275404"
"EAN-13","1","2022-11-01","16:18:11","1667319491.51888","1","0","","9780099540540"
"EAN-13","1","2022-11-01","16:18:05","1667319485.945706","1","0","","9780099289524"
"EAN-13","1","2022-11-01","16:18:02","1667319482.883164","1","0","","9780141389431"
"EAN-13","1","2022-11-01","16:17:54","1667319474.853038","1","0","","9780553826166"
"EAN-13","1","2022-11-01","16:16:51","1667319411.424211","1","0","","9781849831116"
"EAN-13","1","2022-11-01","16:16:49","1667319409.984099","1","0","","9781849831109"
"EAN-13","1","2022-11-01","16:16:48","1667319408.35622","1","0","","9781849831093"
"EAN-13","1","2022-11-01","16:16:39","1667319399.530882","1","0","","9780751505030"
"EAN-13","1","2022-11-01","16:16:36","1667319396.78632","1","0","","9780141198286"
"EAN-13","1","2022-11-01","16:16:33","1667319393.98396","1","0","","9780141194523"
"EAN-13","1","2022-11-01","16:16:31","1667319391.117136","1","0","","9781847394071"
"EAN-13","1","2022-11-01","16:16:02","1667319362.154826","1","0","","9780425269404"
"EAN-13","1","2022-11-01","16:16:01","1667319361.161614","1","0","","9780425269398"
"EAN-13","1","2022-11-01","16:15:59","1667319359.72829","1","0","","9780425240335"
"EAN-13","1","2022-11-01","16:15:47","1667319347.194887","1","0","","9781405915458"
"EAN-13","1","2022-11-01","16:15:45","1667319345.028047","1","0","","9780006177302"
"EAN-13","1","2022-11-01","16:15:41","1667319341.435254","1","0","","9780006471165"
"EAN-13","1","2022-11-01","16:15:37","1667319337.732622","1","0","","9781782277538"
"EAN-13","1","2022-11-01","16:15:33","1667319333.434249","1","0","","9780006479758"
"EAN-13","1","2022-11-01","16:15:29","1667319329.501055","1","0","","9780006479741"
"EAN-13","1","2022-11-01","16:15:26","1667319326.201394","1","0","","9780140274066"
"EAN-13","1","2022-11-01","16:15:00","1667319300.372848","1","0","","9781853267338"
"EAN-13","1","2022-11-01","16:14:56","1667319296.236623","1","0","","9781853260049"
"EAN-13","1","2022-11-01","16:14:50","1667319290.640222","1","0","","9780753827666"
"EAN-13","1","2022-11-01","16:14:47","1667319287.768411","1","0","","9780007551279"
"EAN-13","1","2022-11-01","16:14:45","1667319285.503983","1","0","","9780330536301"
"EAN-13","1","2022-11-01","16:14:35","1667319275.81312","1","0","","9781853260414"
"EAN-13","1","2022-11-01","16:14:34","1667319274.408925","1","0","","9780141186672"
"EAN-13","1","2022-11-01","16:14:22","1667319262.241165","1","0","","9780141346090"
"EAN-13","1","2022-11-01","16:14:20","1667319260.806274","1","0","","9780571191475"
"EAN-13","1","2022-11-01","16:14:04","1667319244.439892","1","0","","9781472207692"
"EAN-13","1","2022-11-01","16:14:03","1667319243.03592","1","0","","9781444775433"
"EAN-13","1","2022-11-01","16:14:01","1667319241.378491","1","0","","9780007523160"
"EAN-13","1","2022-11-01","16:13:59","1667319239.532497","1","0","","9780141345659"
"EAN-13","1","2022-11-01","16:13:45","1667319225.312023","1","0","","9781408842454"
"EAN-13","1","2022-11-01","16:13:42","1667319222.157978","1","0","","9781408824856"
"EAN-13","1","2022-11-01","16:13:40","1667319220.600632","1","0","","9780552779777"
"EAN-13","1","2022-11-01","16:13:29","1667319209.948459","1","0","","9780340960196"
"EAN-13","1","2022-11-01","16:13:28","1667319208.268434","1","0","","9780575099999"
"EAN-13","1","2022-11-01","16:13:26","1667319206.667743","1","0","","9780575130739"
"EAN-13","1","2022-11-01","16:13:06","1667319186.078673","1","0","","9780749309428"
"EAN-13","1","2022-11-01","16:13:02","1667319182.338643","1","0","","9780099532941"
"EAN-13","1","2022-11-01","16:13:00","1667319180.889632","1","0","","9780099532934"
"EAN-13","1","2022-11-01","16:12:58","1667319178.229094","1","0","","9780552160964"
"EAN-13","1","2022-11-01","16:12:49","1667319169.55075","1","0","","9780330411677"
"EAN-13","1","2022-11-01","16:12:48","1667319168.101509","1","0","","9780330376181"
"EAN-13","1","2022-11-01","16:12:47","1667319167.074858","1","0","","9780330376150"
"EAN-13","1","2022-11-01","16:12:45","1667319165.646924","1","0","","9780330376297"
"EAN-13","1","2022-11-01","16:12:43","1667319163.409653","1","0","","9780450038280"
"EAN-13","1","2022-11-01","16:12:14","1667319134.443791","1","0","","9780230706965"
"EAN-13","1","2022-11-01","16:12:11","1667319131.724698","1","0","","9781509881802"
"EAN-13","1","2022-11-01","16:12:08","1667319128.987596","1","0","","9780450045462"
"EAN-13","1","2022-11-01","16:12:06","1667319126.986437","1","0","","9780450021275"
"EAN-13","1","2022-11-01","16:11:36","1667319096.81941","1","0","","9781840226355"
"EAN-13","1","2022-11-01","16:11:32","1667319092.093507","1","0","","9780330546010"
"EAN-13","1","2022-11-01","16:11:28","1667319088.525354","1","0","","9781421555485"
"EAN-13","1","2022-11-01","16:11:24","1667319084.548716","1","0","","9781509860180"
"EAN-13","1","2022-11-01","16:11:21","1667319081.08209","1","0","","9780586044636"
"EAN-13","1","2022-11-01","16:11:16","1667319076.740783","1","0","","9780450537370"
"EAN-13","1","2022-11-01","16:11:12","1667319072.019491","1","0","","9781408106020"
"EAN-13","1","2022-11-01","16:11:09","1667319069.151104","1","0","","9781604594560"
