"Code type","Count","Date","Time","Unix time","Scanned or generated","Starred","Name","Code data"
"EAN-13","1","2022-11-01","16:11:05","1667319065.753734","1","0","","9780099908609"
"EAN-13","1","2022-11-01","16:10:36","1667319036.423757","1","0","","9780340770702"
"EAN-13","1","2022-11-01","16:10:35","1667319035.022048","1","0","","9780340769980"
"EAN-13","1","2022-11-01","16:10:31","1667319031.957216","1","0","","9780708821015"
"EAN-13","1","2022-11-01","16:10:29","1667319029.161289","1","0","","9780340738917"
"EAN-13","1","2022-11-01","16:10:26","1667319026.663266","1","0","","9780450417399"
"EAN-13","1","2022-11-01","16:10:23","1667319023.495989","1","0","","9780450056741"
"EAN-13","1","2022-11-01","16:10:22","1667319022.626871","1","0","","9780450524684"
"EAN-13","1","2022-11-01","16:10:07","1667319007.365077","1","0","","9780450392498"
"EAN-13","2","2022-11-01","16:09:59","1667318999.819224","1","0","","9780450411434"
"EAN-13","1","2022-11-01","16:09:24","1667318964.857241","1","0","","9781444707830"
"EAN-13","1","2022-11-01","16:09:21","1667318961.069615","1","0","","9780340977163"
"EAN-13","1","2022-11-01","16:09:19","1667318959.069317","1","0","","9781529355390"
"EAN-13","1","2022-11-01","16:09:15","1667318955.482584","1","0","","9780340574935"
"EAN-13","1","2022-11-01","16:09:13","1667318953.209178","1","0","","9780340992562"
"EAN-13","2","2022-11-01","16:09:02","1667318942.369683","1","0","","9781421539645"
"EAN-13","1","2022-11-01","16:08:58","1667318938.012511","1","0","","9781785175374"
"EAN-13","1","2022-11-01","16:08:54","1667318934.5142","1","0","","9781785762819"
"EAN-13","1","2022-11-01","16:08:51","1667318931.918343","1","0","","9780099478560"
"EAN-13","1","2022-11-01","16:08:47","1667318927.048949","1","0","","9781421539652"
"EAN-13","1","2022-11-01","16:08:42","1667318922.677862","1","0","","9780261102309"
"EAN-13","1","2022-11-01","16:08:38","1667318918.769342","1","0","","9780140440034"
"EAN-13","1","2022-11-01","16:08:35","1667318915.45274","1","0","","9780753818923"
"EAN-13","1","2022-11-01","16:08:33","1667318913.603022","1","0","","9780008446086"
"EAN-13","1","2022-11-01","16:08:31","1667318911.319405","1","0","","9780857503640"
"EAN-13","1","2022-11-01","16:08:28","1667318908.806481","1","0","","9781472223821"
"EAN-13","1","2022-11-01","16:08:26","1667318906.21876","1","0","","9780230200951"
"EAN-13","1","2022-11-01","16:08:22","1667318902.856412","1","0","","9780356502588"
"EAN-13","1","2022-11-01","16:08:20","1667318900.416385","1","0","","9780099460077"
"EAN-13","1","2022-11-01","16:08:18","1667318898.643775","1","0","","9780099492146"
"EAN-13","1","2022-11-01","16:08:16","1667318896.883397","1","0","","9780099460138"
"EAN-13","2","2022-11-01","16:08:14","1667318894.068998","1","0","","9781784162122"
"EAN-13","1","2022-11-01","16:08:10","1667318890.704817","1","0","","9781784161644"
"EAN-13","1","2022-11-01","16:08:08","1667318888.449952","1","0","","9781784160593"
"EAN-13","1","2022-11-01","16:08:05","1667318885.936495","1","0","","9780575081406"
"EAN-13","1","2022-11-01","16:08:03","1667318883.690487","1","0","","9780007525492"
"EAN-13","1","2022-11-01","16:07:59","1667318879.155368","1","0","","9781473211544"
"EAN-13","1","2022-11-01","16:07:56","1667318876.528948","1","0","","9781853260155"
"EAN-13","1","2022-11-01","16:07:54","1667318874.918794","1","0","","9780091956141"
"EAN-13","1","2022-11-01","16:07:46","1667318866.149895","1","0","","9781409120537"
"EAN-13","1","2022-11-01","16:07:42","1667318862.644836","1","0","","9780575082441"
